micro_code,micro_name,micro_name_ibge,region_code,region_name,month,year,dengue_cases,population,tmax,pdsi,ID_time,ID_space
15017,Paragominas,PARAGOMINAS,1,North,1,2015,3,328594,31.88409805,0.064279325,1,47
15018,S.F<e9>lix Xingu,SÃO FÉLIX DO XINGU,1,North,1,2015,19,199960,30.75658989,-0.514896274,1,48
15019,Parauapebas,PARAUAPEBAS,1,North,1,2015,29,300231,31.12681389,-0.441448361,1,49
15020,Marab<e1>,MARABÁ,1,North,1,2015,19,314713,31.45859909,-0.807877243,1,50
15021,Reden<e7><e3>o,REDENÇÃO,1,North,1,2015,9,189772,31.30875587,-0.783945918,1,51
15022,Conc.Araguaia,CONCEIÇÃO DO ARAGUAIA,1,North,1,2015,3,152614,31.52461052,-0.679794312,1,52
16001,Oiapoque,OIAPOQUE,1,North,1,2015,154,34426,28.96733856,-3.129558802,1,53
16002,Amap<e1>,AMAPÁ,1,North,1,2015,0,28365,29.68099403,-3.158843279,1,54
16003,Macap<e1>,MACAPÁ,1,North,1,2015,218,624241,29.97128868,-2.345484257,1,55
16004,Mazag<e3>o,MAZAGÃO,1,North,1,2015,45,79647,30.20427704,-1.494873524,1,56
17001,Bico Papagaio,BICO DO PAPAGAIO,1,North,1,2015,9,210839,31.6453228,-0.963651597,1,57
17002,Aragua<ed>na,ARAGUAÍNA,1,North,1,2015,93,306848,31.62429047,-0.851482987,1,58
17003,Miracema TO,MIRACEMA DO TOCANTINS,1,North,1,2015,20,148608,32.14219666,-0.766227067,1,59
17004,Rio Formoso,RIO FORMOSO,1,North,1,2015,24,124739,32.28766632,-1.20903182,1,60
17005,Gurupi TO,GURUPI,1,North,1,2015,22,147284,32.27631378,-1.249718189,1,61
17006,Porto Nacional,PORTO NACIONAL,1,North,1,2015,170,375255,32.21237183,-0.724743724,1,62
17007,Jalap<e3>o,JALAPÃO,1,North,1,2015,3,77860,31.68523788,-0.531844258,1,63
17008,Dian<f3>polis,DIANÓPOLIS,1,North,1,2015,15,123693,31.84458733,-0.868221998,1,64
21001,Litoral Ocid.MA,LITORAL OCIDENTAL MARANHENSE,2,Northeast,1,2015,12,187243,31.28501892,-0.277823508,1,65
21002,S<e3>o Lu<ed>s,AGLOMERAÇÃO URBANA DE SÃO LUÍS,2,Northeast,1,2015,48,1395792,31.59545898,-1.0009619,1,66
21003,Ros<e1>rio,ROSÁRIO,2,Northeast,1,2015,7,172687,31.71629333,-1.596991777,1,67
21004,Len<e7><f3>is MA,LENÇÓIS MARANHENSES,2,Northeast,1,2015,0,191719,32.18590927,-1.442582369,1,68
21005,Baixada MA,BAIXADA MARANHENSE,2,Northeast,1,2015,169,590620,31.77923584,-1.554537296,1,69
21006,Itapecuru Mirim,ITAPECURU MIRIM,2,Northeast,1,2015,4,229914,31.9330101,-2.017511845,1,70
21007,Gurupi MA,GURUPI,2,Northeast,1,2015,44,235816,31.45503426,-0.008760662,1,71
21008,Pindar<e9>,PINDARÉ,2,Northeast,1,2015,1,650498,31.84272194,-1.74460721,1,72
21009,Imperatriz,IMPERATRIZ,2,Northeast,1,2015,28,586584,31.60336876,-1.150167465,1,73
21010,M<e9>dio Mearim,MÉDIO MEARIM,2,Northeast,1,2015,4,416015,32.20597458,-2.43253541,1,74
21011,A.Mearim/Graja<fa>,ALTO MEARIM E GRAJAÚ,2,Northeast,1,2015,26,328081,31.47596741,-1.193933249,1,75
21012,Pres. Dutra,PRESIDENTE DUTRA,2,Northeast,1,2015,2,195258,31.93308258,-1.545776367,1,76
21013,B.Parna<ed>ba MA,BAIXO PARNAÍBA MARANHENSE,2,Northeast,1,2015,3,142624,32.53526306,-1.511301637,1,77
21014,Chapadinha,CHAPADINHA,2,Northeast,1,2015,9,238969,32.25961304,-1.824694395,1,78
21015,Cod<f3>,CODÓ,2,Northeast,1,2015,2,272267,32.258564,-1.993743539,1,79
21016,Coelho Neto,COELHO NETO,2,Northeast,1,2015,9,91578,32.76808167,-1.592834234,1,80
21017,Caxias,CAXIAS,2,Northeast,1,2015,161,434610,32.57926559,-0.97055614,1,81
21018,Chap.Itapecuru,CHAPADAS DO ALTO ITAPECURU,2,Northeast,1,2015,19,216408,31.78722572,-1.025573254,1,82
21019,Porto Franco,PORTO FRANCO,2,Northeast,1,2015,1,117278,31.40012169,-1.257141948,1,83
21020,Gerais Balsas,GERAIS DE BALSAS,2,Northeast,1,2015,1,139570,31.4584465,0.060200285,1,84
21021,Chap.Mangab.,CHAPADAS DAS MANGABEIRAS,2,Northeast,1,2015,0,70710,31.6710968,-0.498304993,1,85
22001,B.Parna<ed>ba PI,BAIXO PARNAÍBA PIAUIENSE,2,Northeast,1,2015,3,337635,33.00756073,-1.816271663,1,86
22002,Litoral PI,LITORAL PIAUIENSE,2,Northeast,1,2015,2,313407,32.61585236,-1.39928937,1,87
22003,Teresina,TERESINA,2,Northeast,1,2015,175,1033979,32.98157883,-1.075573921,1,88
22004,Campo Maior,CAMPO MAIOR,2,Northeast,1,2015,3,224045,32.73968506,-1.185578227,1,89
22005,M.Parna<ed>ba PI,MÉDIO PARNAÍBA PIAUIENSE,2,Northeast,1,2015,1,132824,32.58361816,-1.048209071,1,90
22006,Valen<e7>a PI,VALENÇA DO PIAUÍ,2,Northeast,1,2015,1,105099,32.48041534,-0.952178061,1,91
22007,A.Parna<ed>ba PI,ALTO PARNAÍBA PIAUIENSE,2,Northeast,1,2015,2,45533,31.76979256,0.197511375,1,92
22008,Bertol<ed>nia,BERTOLÍNIA,2,Northeast,1,2015,0,41464,31.96344185,-0.679894149,1,93
22009,Floriano,FLORIANO,2,Northeast,1,2015,0,122905,32.28429413,-1.052218318,1,94
22010,A.M.Gurgu<e9>ia,ALTO MÉDIO GURGUÉIA,2,Northeast,1,2015,1,91168,31.99917793,0.307661831,1,95
22011,S.Raim.Nonato,SÃO RAIMUNDO NONATO,2,Northeast,1,2015,0,139257,32.10033417,-1.515963554,1,96
22012,Chap.Ext.Sul PI,CHAPADAS DO EXTREMO SUL PIAUIENSE,2,Northeast,1,2015,4,84591,32.13575363,-0.485996604,1,97
22013,Picos,PICOS,2,Northeast,1,2015,15,204288,32.55464172,-1.396692634,1,98
22014,Pio IX,PIO IX,2,Northeast,1,2015,2,59522,32.28720856,-1.560733914,1,99
22015,A.M.Canind<e9>,ALTO MÉDIO CANINDÉ,2,Northeast,1,2015,8,268311,32.18706894,-1.938878417,1,100
23001,Camocim/Acara<fa>,LITORAL DE CAMOCIM E ACARAÚ,2,Northeast,1,2015,15,379727,32.54603577,-1.178340673,1,101
23002,Ibiapaba,IBIAPABA,2,Northeast,1,2015,3,311344,31.93085861,-1.413188338,1,102
23003,Corea<fa>,COREAÚ,2,Northeast,1,2015,272,58469,32.39389801,-1.233995438,1,103
23004,Meruoca,MERUOCA,2,Northeast,1,2015,0,25995,32.46988678,-1.602373362,1,104
23005,Sobral,SOBRAL,2,Northeast,1,2015,16,404105,32.55204391,-1.750086069,1,105
23006,Ipu,IPU,2,Northeast,1,2015,53,139462,32.41106033,-1.29197681,1,106
23007,Santa Quit<e9>ria,SANTA QUITÉRIA,2,Northeast,1,2015,320,73708,32.94115067,-1.445238709,1,107
23008,Itapipoca,ITAPIPOCA,2,Northeast,1,2015,38,221466,32.37691116,-1.945215583,1,108
23009,Baixo Curu,BAIXO CURU,2,Northeast,1,2015,12,112709,31.8928051,-2.075233698,1,109
23010,Uruburetama,URUBURETAMA,2,Northeast,1,2015,2,107434,32.07162094,-2.258941889,1,110
23011,M<e9>dio Curu,MÉDIO CURU,2,Northeast,1,2015,45,89371,32.01851273,-2.118098497,1,111
23012,Canind<e9>,CANINDÉ,2,Northeast,1,2015,38,130632,32.25270081,-1.575010538,1,112
23013,Baturit<e9>,BATURITÉ,2,Northeast,1,2015,40,194349,32.20294189,-1.976653337,1,113
23014,Chorozinho,CHOROZINHO,2,Northeast,1,2015,5,65002,32.44577026,-1.789925098,1,114
23015,Cascavel CE,CASCAVEL,2,Northeast,1,2015,34,142564,32.65781784,-1.399124146,1,115
23016,Fortaleza,FORTALEZA,2,Northeast,1,2015,535,3563797,31.81092644,-1.861744285,1,116
23017,Pacajus,PACAJUS,2,Northeast,1,2015,9,132165,32.21549606,-1.62199223,1,117
23018,Sert<e3>o Crat<e9>us,SERTÃO DE CRATÉUS,2,Northeast,1,2015,15,245891,32.8362999,-1.255230188,1,118
23019,Quixeramobim,SERTÃO DE QUIXERAMOBIM,2,Northeast,1,2015,17,280176,33.19816589,-1.502259254,1,119
23020,Sert<e3>o Inhamuns,SERTÃO DE INHAMUNS,2,Northeast,1,2015,110,149594,32.89368439,-1.239431381,1,120
23021,Senador Pompeu,SERTÃO DE SENADOR POMPEU,2,Northeast,1,2015,16,223216,33.7220192,-1.364336133,1,121
23022,Litoral Aracati,LITORAL DE ARACATI,2,Northeast,1,2015,28,115752,33.55772781,-0.985879421,1,122
23023,Baixo Jaguaribe,BAIXO JAGUARIBE,2,Northeast,1,2015,13,326336,33.7645607,-1.300933719,1,123
23024,M<e9>dio Jaguaribe,MÉDIO JAGUARIBE,2,Northeast,1,2015,1,63660,34.27541733,-0.953353405,1,124
23025,Serra Pereiro,SERRA DO PEREIRO,2,Northeast,1,2015,2,43608,33.91550827,-0.963199556,1,125
23026,Iguatu,IGUATU,2,Northeast,1,2015,5,229940,33.80472565,-0.922701657,1,126
23027,V<e1>rzea Alegre,VÁRZEA ALEGRE,2,Northeast,1,2015,35,99477,33.39027405,-0.79636389,1,127
23028,Lavr.Mangabeira,LAVRAS DA MANGABEIRA,2,Northeast,1,2015,0,57551,33.7160759,-0.431543976,1,128
23029,Chap.Araripe,CHAPADA DO ARARIPE,2,Northeast,1,2015,0,98489,32.0687027,-1.156858206,1,129
23030,Cariria<e7>u,CARIRIAÇU,2,Northeast,1,2015,1,57557,33.07782745,-1.070130587,1,130
23031,Barro,BARRO,2,Northeast,1,2015,20,92994,32.9668808,-1.453413367,1,131
23032,Cariri,CARIRI,2,Northeast,1,2015,118,563528,32.20838165,-1.916202068,1,132
23033,Brejo Santo,BREJO SANTO,2,Northeast,1,2015,23,104391,32.69746017,-1.41574955,1,133
24001,Mossor<f3>,MOSSORÓ,2,Northeast,1,2015,13,368479,33.73868561,-0.505837739,1,134
24002,Chap.Apodi,CHAPADA DO APODI,2,Northeast,1,2015,0,75814,34.35162735,-0.433006048,1,135
24003,M<e9>dio Oeste,MÉDIO OESTE,2,Northeast,1,2015,0,41204,34.14338684,-0.448434472,1,136
24004,Vale do A<e7>u,VALE DO AÇU,2,Northeast,1,2015,12,152003,33.50634766,-0.956268132,1,137
24005,Serra S.Miguel,SERRA DE SÃO MIGUEL,2,Northeast,1,2015,1,66658,33.5227356,-0.670693994,1,138
24006,Pau dos Ferros,PAU DOS FERROS,2,Northeast,1,2015,17,118951,33.77780151,-0.697327912,1,139
24007,Umarizal,UMARIZAL,2,Northeast,1,2015,25,67583,33.98973846,-0.831255078,1,140
24008,Macau,MACAU,2,Northeast,1,2015,23,58027,32.41520309,-0.983504832,1,141
24009,Angicos,ANGICOS,2,Northeast,1,2015,27,53201,32.66407013,-0.83809489,1,142
24010,Serra Santana,SERRA DE SANTANA,2,Northeast,1,2015,50,63966,33.12416077,-0.707916498,1,143
24011,Serid<f3> Ocid.,SERIDÓ OCIDENTAL,2,Northeast,1,2015,29,104439,34.24829483,-0.392931908,1,144
24012,Serid<f3> Oriental,SERIDÓ ORIENTAL,2,Northeast,1,2015,592,124676,33.19002151,-0.149415717,1,145
24013,Baixa Verde,BAIXA VERDE,2,Northeast,1,2015,7,67253,32.08401489,-0.54403317,1,146
24014,Borborema RN,BORBOREMA POTIGUAR,2,Northeast,1,2015,21,142602,32.1439743,-0.382971704,1,147
24015,Agreste RN,AGRESTE POTIGUAR,2,Northeast,1,2015,29,247816,32.09644699,-0.357192546,1,148
24016,Litoral NE,LITORAL NORDESTE,2,Northeast,1,2015,9,90648,31.98855209,-0.245321721,1,149
24017,Maca<ed>ba,MACAÍBA,2,Northeast,1,2015,57,318956,31.97128487,-0.191111669,1,150
24018,Natal,NATAL,2,Northeast,1,2015,668,1139863,31.90000153,-0.129999995,1,151
24019,Litoral Sul RN,LITORAL SUL,2,Northeast,1,2015,11,140036,32.1000061,-0.286333203,1,152
25001,Catol<e9> do Rocha,CATOLÉ DO ROCHA,2,Northeast,1,2015,5,121899,34.12623215,-0.690350294,1,153
25002,Cajazeiras,CAJAZEIRAS,2,Northeast,1,2015,19,175657,33.51386261,-0.684880793,1,154
25003,Sousa,SOUSA,2,Northeast,1,2015,7,188370,33.90541077,-0.469992101,1,155
25004,Patos,PATOS,2,Northeast,1,2015,4,132985,33.63392258,-0.411251187,1,156
25005,Pianc<f3>,PIANCÓ,2,Northeast,1,2015,5,71321,33.61413193,-0.547802269,1,157
25006,Itaporanga,ITAPORANGA,2,Northeast,1,2015,9,85842,32.91986465,-0.485589087,1,158
25007,Serra Teixeira,SERRA DO TEIXEIRA,2,Northeast,1,2015,25,121088,33.00409317,-0.420889884,1,159
25008,Serid<f3> Ocid.PB,SERIDÓ OCIDENTAL PARAIBANO,2,Northeast,1,2015,3,40830,33.56774139,-0.223586857,1,160
25009,Serid<f3> Or.PB,SERIDÓ ORIENTAL PARAIBANO,2,Northeast,1,2015,4,78186,32.14020157,0.470278889,1,161
25010,Cariri Ocid.,CARIRI OCIDENTAL,2,Northeast,1,2015,228,127274,32.41952133,-0.706050038,1,162
25011,Cariri Oriental,CARIRI ORIENTAL,2,Northeast,1,2015,2,66344,32.09011459,-0.487166524,1,163
25012,Curimata<fa> Ocid.,CURIMATAÚ OCIDENTAL,2,Northeast,1,2015,0,126686,31.74080276,0.335275084,1,164
25013,Curimata<fa> Or.,CURIMATAÚ ORIENTAL,2,Northeast,1,2015,0,96137,31.42690277,-0.194811195,1,165
25014,Esperan<e7>a,ESPERANÇA,2,Northeast,1,2015,1,56890,31.71417046,-0.186902821,1,166
25015,Brejo PB,BREJO PARAIBANO,2,Northeast,1,2015,5,116235,31.54985237,-0.183770806,1,167
25016,Guarabira,GUARABIRA,2,Northeast,1,2015,7,170346,31.94065857,-0.222512543,1,168
25017,Campina Grande,CAMPINA GRANDE,2,Northeast,1,2015,5,528512,31.97342873,-0.270923793,1,169
25018,Itabaiana,ITABAIANA,2,Northeast,1,2015,1,111195,32.00076294,-0.12450704,1,170
25019,Umbuzeiro,UMBUZEIRO,2,Northeast,1,2015,4,54576,31.90010643,-0.21983847,1,171
25020,Litoral Norte,LITORAL NORTE,2,Northeast,1,2015,5,150391,32.10000229,-0.250011027,1,172
25021,Sap<e9>,SAPÉ,2,Northeast,1,2015,1,138743,32.10000229,-0.07788752,1,173
25022,Jo<e3>o Pessoa,JOÃO PESSOA,2,Northeast,1,2015,174,1124931,31.90290451,-0.02785654,1,174
25023,Litoral Sul PB,LITORAL SUL,2,Northeast,1,2015,15,87764,31.86135292,-0.016287167,1,175
26001,Araripina,ARARIPINA,2,Northeast,1,2015,3,326540,31.91244507,-1.714457035,1,176
26002,Salgueiro,SALGUEIRO,2,Northeast,1,2015,5,169719,32.75833893,-1.326691866,1,177
26003,Paje<fa>,PAJEÚ,2,Northeast,1,2015,98,328145,32.84540176,-0.401304483,1,178
26004,Sert<e3>o Moxot<f3>,SERTÃO DO MOXOTÓ,2,Northeast,1,2015,127,227553,32.94032288,-0.427670538,1,179
26005,Petrolina,PETROLINA,2,Northeast,1,2015,77,493230,32.08234406,-2.339230776,1,180
26006,Itaparica,ITAPARICA,2,Northeast,1,2015,4,144396,33.8222084,-1.146231771,1,181
26007,Vale do Ipanema,VALE DO IPANEMA,2,Northeast,1,2015,12,192226,31.95897865,-1.21696353,1,182
26008,Vale do Ipojuca,VALE DO IPOJUCA,2,Northeast,1,2015,78,915023,30.98751259,-0.540314198,1,183
26009,Alto Capibaribe,ALTO CAPIBARIBE,2,Northeast,1,2015,49,305270,31.89249992,-0.354686469,1,184
26010,M.Capibaribe,MÉDIO CAPIBARIBE,2,Northeast,1,2015,78,259118,31.56707382,0.989360809,1,185
26011,Garanhuns,GARANHUNS,2,Northeast,1,2015,22,463207,31.03583336,-1.152562976,1,186
26012,Brejo PE,BREJO PERNAMBUCANO,2,Northeast,1,2015,5,223270,30.60448456,-0.162050232,1,187
26013,Mata Set.PE,MATA SETENTRIONAL PERNAMBUCANA,2,Northeast,1,2015,145,560367,31.69280815,2.652612209,1,188
26014,Vit<f3>ria S.Ant<e3>o,VITÓRIA DE SANTO ANTÃO,2,Northeast,1,2015,18,227346,31.16144371,0.422686547,1,189
26015,Mata Merid.PE,MATA MERIDIONAL PERNAMBUCANA,2,Northeast,1,2015,16,592516,31.01926804,-0.08863768,1,190
26016,Itamarac<e1>,ITAMARACÁ,2,Northeast,1,2015,11,182965,31.28916359,1.174875975,1,191
26017,Recife,RECIFE,2,Northeast,1,2015,1914,3439465,31.16223907,0.542891502,1,192
26018,Suape,SUAPE,2,Northeast,1,2015,47,291887,31.09511185,-0.00368502,1,193
27001,Serr.Sert<e3>o AL,SERRANA DO SERTÃO ALAGOANO,2,Northeast,1,2015,256,93222,33.74916458,-1.442523718,1,194
27002,Sert.S.Franc.AL,ALAGOANA DO SERTÃO DO SÃO FRANCISCO,2,Northeast,1,2015,8,86245,33.97399902,-1.555767655,1,195
27003,Santana Ipanema,SANTANA DO IPANEMA,2,Northeast,1,2015,100,179875,33.52114868,-2.062517881,1,196
27004,Batalha,BATALHA,2,Northeast,1,2015,118,97012,33.45323563,-2.134449482,1,197
27005,Palmeira <cd>ndios,PALMEIRA DOS ÍNDIOS,2,Northeast,1,2015,6,181933,32.052845,-1.588502526,1,198
27006,Arapiraca,ARAPIRACA,2,Northeast,1,2015,179,440103,32.64236832,-1.309456944,1,199
27007,Traipu,TRAIPU,2,Northeast,1,2015,0,40010,32.77349091,-1.648371696,1,200
27008,Serr.Quilombos,SERRANA DOS QUILOMBOS,2,Northeast,1,2015,6,153466,31.0812912,-0.944978535,1,201
27009,Mata AL,MATA ALAGOANA,2,Northeast,1,2015,10,319401,31.12809944,-0.425273299,1,202
27010,Litoral N AL,LITORAL NORTE ALAGOANO,2,Northeast,1,2015,8,71967,30.94356918,-0.16449444,1,203
27011,Macei<f3>,MACEIÓ,2,Northeast,1,2015,175,1239316,31.03338814,-0.638921797,1,204
27012,S.Miguel Campos,SÃO MIGUEL DOS CAMPOS,2,Northeast,1,2015,46,306771,31.77351379,-1.272674561,1,205
27013,Penedo,PENEDO,2,Northeast,1,2015,21,131611,32.02554703,-1.661364555,1,206
28001,Sert.S.Franc.SE,SERGIPANA DO SERTÃO DO SÃO FRANCISCO,2,Northeast,1,2015,1,169269,33.30080414,-2.290195227,1,207
28002,Carira,CARIRA,2,Northeast,1,2015,4,73362,32.50303268,-1.924983144,1,208
28003,NS das Dores,NOSSA SENHORA DAS DORES,2,Northeast,1,2015,2,66734,32.2894783,-2.562806845,1,209
28004,Agr.Itabaiana,AGRESTE DE ITABAIANA,2,Northeast,1,2015,3,171382,31.92501068,-2.279353619,1,210
28005,Tobias Barreto,TOBIAS BARRETO,2,Northeast,1,2015,17,115317,32.5846405,-2.086748362,1,211
28006,Agr.Lagarto,AGRESTE DE LAGARTO,2,Northeast,1,2015,10,122233,32.18816376,-1.927572489,1,212
28007,Propri<e1>,PROPRIÁ,2,Northeast,1,2015,69,95020,32.183918,-1.767711639,1,213
28008,Cotinguiba,COTINGUIBA,2,Northeast,1,2015,2,50854,31.98311806,-2.527765036,1,214
28009,Japaratuba,JAPARATUBA,2,Northeast,1,2015,0,58607,31.50929642,-1.939136982,1,215
28010,B.Cotinguiba,BAIXO COTINGUIBA,2,Northeast,1,2015,8,97556,31.57428169,-2.459961414,1,216
28011,Aracaju,ARACAJU,2,Northeast,1,2015,197,925744,31.72584915,-2.690919876,1,217
28012,Boquim,BOQUIM,2,Northeast,1,2015,3,163916,32.16146851,-2.515674114,1,218
28013,Est<e2>ncia,ESTÂNCIA,2,Northeast,1,2015,4,132943,31.82320404,-2.962085962,1,219
29001,Barreiras,BARREIRAS,2,Northeast,1,2015,9,332223,31.04001808,-0.812088132,1,220
29002,Cotegipe,COTEGIPE,2,Northeast,1,2015,1,122743,32.32932281,-2.281238556,1,221
29003,S Maria Vit<f3>ria,SANTA MARIA DA VITÓRIA,2,Northeast,1,2015,5,190013,30.90454674,-2.144086361,1,222
29004,Juazeiro,JUAZEIRO,2,Northeast,1,2015,18,498392,32.11680222,-2.681011677,1,223
29005,Paulo Afonso,PAULO AFONSO,2,Northeast,1,2015,18,183634,33.627388,-1.973422885,1,224
29006,Barra,BARRA,2,Northeast,1,2015,47,186837,32.92187119,-2.753492594,1,225
29007,B Jesus da Lapa,BOM JESUS DA LAPA,2,Northeast,1,2015,0,184362,32.17709351,-2.679630041,1,226
29008,Senhor Bonfim,SENHOR DO BONFIM,2,Northeast,1,2015,14,309957,31.2661705,-2.695861101,1,227
29009,Irec<ea>,IRECÊ,2,Northeast,1,2015,9,404025,31.05503654,-2.972604275,1,228
29010,Jacobina,JACOBINA,2,Northeast,1,2015,8,349295,30.9390316,-2.535758018,1,229
29011,Itaberaba,ITABERABA,2,Northeast,1,2015,16,264568,31.92131424,-2.899239779,1,230
29012,F Santana,FEIRA DE SANTANA,2,Northeast,1,2015,58,1082958,32.58274078,-3.050335407,1,231
29013,Jeremoabo,JEREMOABO,2,Northeast,1,2015,11,103200,33.37994766,-1.923662186,1,232
29014,Euclides Cunha,EUCLIDES DA CUNHA,2,Northeast,1,2015,3,316734,32.9475174,-2.411043644,1,233
29015,Ribeira Pombal,RIBEIRA DO POMBAL,2,Northeast,1,2015,29,335586,33.1051445,-2.42504549,1,234
29016,Serrinha,SERRINHA,2,Northeast,1,2015,44,449981,32.88193893,-2.540095806,1,235
29017,Alagoinhas,ALAGOINHAS,2,Northeast,1,2015,6,336783,32.70520782,-2.890446424,1,236
29018,Entre Rios,ENTRE RIOS,2,Northeast,1,2015,1,126734,32.3306694,-2.46449995,1,237
29019,Catu,CATU,2,Northeast,1,2015,4,232579,32.36978912,-2.96639514,1,238
29020,S Ant<f4>nio Jesus,SANTO ANTÔNIO DE JESUS,2,Northeast,1,2015,12,585436,32.13384247,-2.967951059,1,239
29021,Salvador,SALVADOR,2,Northeast,1,2015,128,3824450,32.119133,-2.788017988,1,240
29022,Boquira,BOQUIRA,2,Northeast,1,2015,24,199366,31.20810318,-3.063200235,1,241
29023,Seabra,SEABRA,2,Northeast,1,2015,6,271254,30.20612907,-3.287573576,1,242
29024,Jequi<e9>,JEQUIÉ,2,Northeast,1,2015,241,537271,30.83733559,-3.216995716,1,243
29025,Livr.Brumado,LIVRAMENTO DO BRUMADO,2,Northeast,1,2015,9,104132,30.77862358,-3.087181807,1,244
29026,Guanambi,GUANAMBI,2,Northeast,1,2015,1,405109,31.15974808,-2.922362089,1,245
29027,Brumado,BRUMADO,2,Northeast,1,2015,6,243257,30.76634407,-2.882876158,1,246
